service,key,layer
wfs,administratif,ADMINEXPRESS-COG.LATEST:arrondissement
wfs,administratif,ADMINEXPRESS-COG.LATEST:arrondissement_municipal
wfs,administratif,ADMINEXPRESS-COG.LATEST:canton
wfs,administratif,ADMINEXPRESS-COG.LATEST:chflieu_arrondissement_municipal
wfs,administratif,ADMINEXPRESS-COG.LATEST:chflieu_commune
wfs,administratif,ADMINEXPRESS-COG.LATEST:chflieu_commune_associee_ou_deleguee
wfs,administratif,ADMINEXPRESS-COG.LATEST:collectivite_territoriale
wfs,administratif,ADMINEXPRESS-COG.LATEST:commune
wfs,administratif,ADMINEXPRESS-COG.LATEST:commune_associee_ou_deleguee
wfs,administratif,ADMINEXPRESS-COG.LATEST:departement
wfs,administratif,ADMINEXPRESS-COG.LATEST:epci
wfs,administratif,ADMINEXPRESS-COG.LATEST:region
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:arrondissement
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:arrondissement_municipal
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:canton
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:chflieu_arrondissement_municipal
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:chflieu_commune_associee_ou_deleguee
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:collectivite_territoriale
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:commune
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:commune_associee_ou_deleguee
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:departement
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:epci
wfs,administratif,ADMINEXPRESS-COG-CARTO.LATEST:region
wfs,administratif,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:arrondissement
wfs,administratif,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:arrondissement_departemental
wfs,administratif,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:arrondissement_municipal
wfs,administratif,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:canton
wfs,administratif,LIMITES_ADMINISTRATIVES_EXPRESS.LATEST:chef_lieu
